fullvisitorId,visitNumber,customerPath,eventCount
0006911334202687206,2," Landing, search, searchsearch quickview, basket, home, productbrowseshopbycategory, productbrowsequickview, basket, singin, yourinfo, home, payment, revieworder, ordercomplete",14
0010295111715775250,3," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, register, store, basket, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbybrand, store, productpageshopbycategory, store, productbrowseshopbycategory, productbrowseshopbycategory, store, storestore quickview, productpageshopbycategory, basket, yourinfo, payment, basket, yourinfo, payment, revieworder, ordercomplete",28
0014262055593378383,4," Landing, productbrowseshopbycategory, store, storestore quickview, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, yourinfo, payment, revieworder, ordercomplete",13
0014262055593378383,6," Landingshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, search, searchsearch quickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",19
0024932550342595467,2," Landing, basket, singin, yourinfo, payment, revieworder, ordercomplete",7
0047078955120420928,1," Landing, productbrowseshopbycategory, productbrowseshopbybrand, productbrowsequickview, basket, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",14
0082806901961150595,1," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, register, store, basket, yourinfo, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",40
0088657980877164102,1," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",12
0097371986665596420,11," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productpageshopbycategory, basket, singin, yourinfo, payment, revieworder, ordercomplete",13
0097563825178820508,2," Landing, productbrowseshopbycategory, singin, store, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",11
0112712853580593351,2," Landing, singin, store, basket, yourinfo, payment, revieworder, ordercomplete",8
0128830210468179660,4," Landingquickview, productbrowseshopbycategory, productbrowseshopbybrand, singin, basket, productbrowseshopbycategory, basket, yourinfo, payment, storepolicies, storepolicies, revieworder, ordercomplete",13
0142116411233847758,1," Landing, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, basket, singin, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",23
0143782636543876435,4," Landing, store, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",15
0163532416839889055,7," Landing, singin, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbybrand, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",15
0169854884741652554,4," Landing, singin, home, basket, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",18
0183218035021860438,5," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, basket, yourinfo, payment, myaccount, basket, yourinfo, payment, revieworder, ordercomplete",15
0193361951439999580,1," Landingshopbycategory, basket, singin, yourinfo, payment, revieworder, ordercomplete",7
0214776722271775969,8," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, yourinfo, payment, revieworder, ordercomplete",17
0236160742740831906,1," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, payment, revieworder, productbrowseshopbycategory, p",64
0249659095832018179,1," Landing, productbrowseshopbycategory, productbrowsequickview, home, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",14
0280589015308186459,3," Landing, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, productbrowseshopbycategory, productpageshopbycategory, basket, productbrowseshopbycategory, productbrowseshopbycategory, search, searchsearch quickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, singin, register, store, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, yourinfo, payment, basket, yourinfo, payment, basket, revieworder, ordercomplete",38
0294093638755103061,2," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, basket, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",15
0312226371899637611,6," Landing, singin, basket, productbrowseshopbycategory, store, basket, yourinfo, basket, yourinfo, payment, ordercomplete",11
0316080058721038988,2," Landing, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",10
