fullvisitorId,visitNumber,customerPath,eventCount
0006911334202687206,2,"Landing,search,basket,home,productbrowse,singin,yourinfo,payment,revieworder,ordercomplete",10
0010295111715775250,3,"Landing,productbrowse,basket,singin,register,store,productpage,yourinfo,payment,revieworder,ordercomplete",11
0014262055593378383,4,"Landing,productbrowse,store,basket,yourinfo,payment,revieworder,ordercomplete",8
0014262055593378383,6,"Landing,productbrowse,search,productpage,basket,singin,yourinfo,payment,revieworder,ordercomplete",10
0024932550342595467,2,"Landing,basket,singin,yourinfo,payment,revieworder,ordercomplete",7
0047078955120420928,1,"Landing,productbrowse,basket,singin,yourinfo,payment,revieworder,ordercomplete",8
0082806901961150595,1,"Landing,productbrowse,productpage,basket,singin,register,store,yourinfo,payment,revieworder,ordercomplete",11
0088657980877164102,1,"Landing,productbrowse,productpage,basket,yourinfo,payment,revieworder,ordercomplete",8
0097371986665596420,11,"Landing,productbrowse,productpage,basket,singin,yourinfo,payment,revieworder,ordercomplete",9
0097563825178820508,2,"Landing,productbrowse,singin,store,basket,yourinfo,payment,revieworder,ordercomplete",9
0112712853580593351,2,"Landing,singin,store,basket,yourinfo,payment,revieworder,ordercomplete",8
0128830210468179660,4,"Landing,productbrowse,singin,basket,yourinfo,payment,storepolicies,revieworder,ordercomplete",9
0142116411233847758,1,"Landing,store,productbrowse,basket,singin,register,yourinfo,payment,revieworder,ordercomplete",10
0143782636543876435,4,"Landing,store,productbrowse,productpage,basket,singin,yourinfo,payment,revieworder,ordercomplete",10
0163532416839889055,7,"Landing,singin,store,productbrowse,basket,yourinfo,payment,revieworder,ordercomplete",9
0169854884741652554,4,"Landing,singin,home,basket,productpage,productbrowse,yourinfo,payment,revieworder,ordercomplete",10
0183218035021860438,5,"Landing,productbrowse,productpage,basket,singin,yourinfo,payment,myaccount,revieworder,ordercomplete",10
0193361951439999580,1,"Landing,basket,singin,yourinfo,payment,revieworder,ordercomplete",7
0214776722271775969,8,"Landing,productbrowse,basket,yourinfo,payment,revieworder,ordercomplete",7
0236160742740831906,1,"Landing,productbrowse,productpage,basket,yourinfo,payment,revieworder,ordercomplete",8
0249659095832018179,1,"Landing,productbrowse,home,productpage,basket,singin,yourinfo,payment,revieworder,ordercomplete",10
0280589015308186459,3,"Landing,productpage,basket,productbrowse,search,singin,register,store,yourinfo,payment,revieworder,ordercomplete",12
0294093638755103061,2,"Landing,productbrowse,basket,yourinfo,payment,revieworder,ordercomplete",7
0312226371899637611,6,"Landing,singin,basket,productbrowse,store,yourinfo,payment,ordercomplete",8
0316080058721038988,2,"Landing,productbrowse,basket,singin,yourinfo,payment,revieworder,ordercomplete",8
0318476411656972479,1,"Landing,productbrowse,basket,yourinfo,payment,revieworder,ordercomplete",7
0326671467950015369,6,"Landing,productpage,singin,storepolicies,basket,yourinfo,payment,revieworder,ordercomplete",9
0344842538233543056,1,"Landing,home,productbrowse,search,basket,singin,register,store,yourinfo,payment,revieworder,ordercomplete",12
0345672699449577691,5,"Landing,basket,yourinfo,payment,revieworder,ordercomplete",6
0349598333236458498,1,"Landing,productbrowse,basket,productpage,singin,register,store,yourinfo,payment,ordercomplete",10
036131108463384213,1,"Landing,productbrowse,singin,store,basket,yourinfo,payment,revieworder,ordercomplete",9
0363878417378060116,2,"Landing,productbrowse,basket,yourinfo,payment,revieworder,ordercomplete",7
